45,Q2.1_25,BFI,25,I see myself as someone who is: - Is inventive,"{""ImportId"":""QID77_25""}",4,4,5,3,4,5,5,2,4,5,4,4,4,4,4,4,2,5,4,4,5,4,3,5,3,5,5,5,4,3,5,2,4,4,3,4,5,3,4,4,4,2,5,5,4,3,5,4,3,4,3,5,3,4,5,4,3,2,4,5,3,2,5,2,4,5,4,5,4,2,3,3,3,4,4
46,Q2.1_26,BFI,26,I see myself as someone who is: - Has an assertive personality,"{""ImportId"":""QID77_26""}",3,1,5,3,2,5,4,4,4,3,4,4,4,4,5,4,2,2,3,4,3,3,2,3,3,4,4,5,4,4,5,2,2,3,4,1,5,4,3,2,2,1,4,4,1,3,1,4,1,2,3,4,3,2,1,5,4,2,5,5,4,3,3,3,3,4,3,5,2,4,3,3,4,2,4
47,Q2.1_27,BFI,27,I see myself as someone who is: - Can be cold and aloof,"{""ImportId"":""QID77_27""}",4,4,1,2,2,1,1,4,3,4,2,2,5,4,4,2,2,5,4,4,4,2,4,2,2,2,3,1,2,1,5,3,4,4,4,4,1,4,1,1,2,1,2,5,4,3,1,3,1,5,3,1,3,1,2,4,4,4,4,5,1,1,4,4,2,4,1,3,2,2,5,1,3,1,2
48,Q2.1_28,BFI,28,I see myself as someone who is: - Preseveres until the task is finished,"{""ImportId"":""QID77_28""}",4,4,5,4,4,5,4,3,4,1,5,4,5,4,5,4,1,5,3,4,3,2,5,5,2,5,4,4,4,4,5,3,2,3,4,4,3,4,5,4,5,4,4,3,5,4,5,4,5,4,4,5,3,4,1,5,3,3,5,5,5,5,4,5,3,4,5,5,5,3,5,4,3,5,5
49,Q2.1_29,BFI,29,I see myself as someone who is: - Can be moody,"{""ImportId"":""QID77_29""}",3,4,1,2,4,1,1,4,5,4,3,2,4,5,4,1,2,1,4,4,4,1,4,1,2,2,3,1,2,2,3,4,4,3,3,1,1,4,1,1,2,1,2,4,3,3,1,5,2,4,1,1,3,1,2,5,2,4,1,4,1,1,4,5,4,4,1,3,2,3,1,1,3,2,4
50,Q2.1_30,BFI,30,"I see myself as someone who is: - Values artistic, aesthetic experiences","{""ImportId"":""QID77_30""}",4,5,5,3,1,5,4,5,4,3,5,4,4,4,5,4,4,5,3,4,4,2,5,3,2,4,4,5,4,3,5,3,2,3,4,5,3,4,4,4,5,5,5,2,4,4,1,4,3,5,3,5,3,3,1,4,2,5,5,5,5,3,5,5,4,5,5,4,4,3,1,2,3,4,5
51,Q2.1_31,BFI,31,"I see myself as someone who is: - Is sometimes shy, inhibited","{""ImportId"":""QID77_31""}",4,5,1,2,5,1,3,3,3,1,3,4,5,2,4,4,3,5,4,4,5,2,4,1,2,2,4,1,2,4,1,4,4,4,3,5,5,2,3,3,2,4,4,3,5,3,5,4,4,5,4,1,3,4,5,4,3,5,4,4,1,2,3,1,4,5,2,1,5,4,5,2,4,4,1
52,Q2.1_32,BFI,32,I see myself as someone who is: - Is considerate and kind to almost everyone,"{""ImportId"":""QID77_32""}",3,5,5,4,5,5,5,4,4,1,5,5,5,4,5,5,3,4,3,4,5,2,4,4,2,5,3,5,4,4,5,5,2,3,3,4,2,3,4,5,4,4,4,2,4,4,1,4,5,3,5,5,3,4,2,4,3,3,5,5,5,4,3,3,2,3,5,5,4,4,1,4,4,5,5
53,Q2.1_33,BFI,33,I see myself as someone who is: - Does things efficiently,"{""ImportId"":""QID77_33""}",4,4,5,4,4,5,5,4,5,4,4,4,4,4,4,5,3,5,4,4,2,4,4,5,2,5,4,5,4,4,5,2,4,4,3,4,5,4,5,4,5,4,4,5,5,4,5,3,5,3,4,5,3,5,2,4,3,3,5,5,4,5,3,1,3,3,5,5,4,2,5,4,3,5,4
54,Q2.1_34,BFI,34,I see myself as someone who is: - Remains calm in tense situations,"{""ImportId"":""QID77_34""}",4,2,5,4,4,5,5,4,4,1,4,4,4,4,5,4,1,3,3,4,4,2,4,4,2,5,3,4,4,3,5,1,2,4,4,5,1,4,5,3,5,4,4,1,4,4,5,4,4,2,4,5,3,5,2,5,3,4,5,5,5,3,4,1,3,5,5,5,5,2,5,4,3,4,5
55,Q2.1_35,BFI,35,I see myself as someone who is: - Prefers work that is routine,"{""ImportId"":""QID77_35""}",4,4,1,3,4,4,2,5,3,5,4,3,5,1,4,5,4,3,4,4,4,2,4,4,2,1,4,2,2,4,5,3,4,4,4,3,2,3,3,4,2,5,2,4,5,3,1,4,4,4,4,3,3,3,4,4,4,2,4,5,3,4,3,3,3,3,3,5,4,3,5,2,3,4,2
56,Q2.1_36,BFI,36,"I see myself as someone who is: - Is outgoing, sociable","{""ImportId"":""QID77_36""}",3,1,5,4,2,5,5,4,4,4,4,3,5,3,5,3,1,1,3,4,5,4,1,2,2,4,4,2,4,4,5,3,2,3,4,1,3,2,3,4,2,3,2,1,1,3,1,3,2,2,2,5,3,3,5,4,2,2,1,4,4,4,5,4,2,4,4,5,2,2,1,3,2,2,5
57,Q2.1_37,BFI,37,I see myself as someone who is: - Is sometimes rude to others,"{""ImportId"":""QID77_37""}",4,1,1,2,1,1,2,2,2,2,1,2,4,4,4,3,4,4,3,4,4,2,1,1,2,1,3,1,2,2,1,3,4,3,3,1,3,3,1,1,2,1,1,3,2,2,1,3,1,4,1,1,3,1,4,5,3,4,4,5,1,1,3,5,4,4,1,5,2,4,5,1,3,1,1
58,Q2.1_38,BFI,38,I see myself as someone who is: - Makes plans and follows through with them,"{""ImportId"":""QID77_38""}",4,2,5,4,4,5,5,3,4,4,4,4,4,4,5,3,3,5,4,3,1,2,4,4,2,5,4,4,4,4,5,3,2,4,3,4,1,4,5,4,4,4,4,3,2,4,5,4,5,2,5,5,3,4,4,4,3,3,5,4,5,5,3,5,3,3,5,4,4,4,5,4,3,5,5
59,Q2.1_39,BFI,39,I see myself as someone who is: - Gets nervous easily,"{""ImportId"":""QID77_39""}",4,5,1,2,4,1,2,3,2,5,3,3,5,2,4,2,4,4,3,4,3,2,5,1,2,4,3,1,2,2,1,5,4,3,3,1,3,4,1,2,2,2,4,5,4,2,1,4,2,4,2,1,3,1,5,5,4,4,1,5,1,1,3,4,3,5,4,1,2,4,1,1,3,4,1
60,Q2.1_40,BFI,40,"I see myself as someone who is: - Likes to reflect, play with ideas","{""ImportId"":""QID77_40""}",3,5,5,3,4,5,5,4,2,3,5,4,5,4,5,3,3,5,4,4,5,2,4,4,2,4,4,4,4,4,5,3,2,4,3,4,3,4,5,4,5,3,4,1,4,4,5,3,3,5,3,5,3,4,5,5,3,3,5,4,4,3,4,2,3,5,4,5,4,3,2,2,3,4,5
61,Q2.1_41,BFI,41,I see myself as someone who is: - Has few artistic interests,"{""ImportId"":""QID77_41""}",4,5,1,4,5,1,1,2,3,4,1,2,4,1,4,4,4,1,3,3,1,2,2,4,2,1,3,1,2,3,5,4,4,3,4,2,4,3,1,2,1,3,4,4,1,2,5,4,3,1,2,1,3,4,5,5,4,2,1,5,1,3,5,4,4,1,4,5,2,3,5,2,3,1,1
62,Q2.1_42,BFI,42,I see myself as someone who is: - Likes to cooperate with others,"{""ImportId"":""QID77_42""}",3,4,5,4,5,5,4,3,2,4,5,4,4,3,5,4,4,1,4,4,2,4,4,4,2,4,4,4,4,5,5,3,3,3,4,3,3,3,4,5,3,5,2,4,2,3,1,4,4,3,3,5,3,4,5,4,2,4,4,4,5,4,5,1,3,4,5,3,4,4,1,3,3,5,5
63,Q2.1_43,BFI,43,I see myself as someone who is: - Is easily disracted,"{""ImportId"":""QID77_43""}",4,5,1,2,4,1,2,2,1,2,2,2,5,2,4,2,5,1,3,2,4,2,1,1,2,4,3,1,2,2,1,4,4,4,3,1,1,3,1,2,2,2,3,3,2,2,1,4,2,5,2,1,3,1,2,4,3,3,1,5,1,2,3,2,3,4,1,1,2,3,1,2,3,2,1
64,Q2.1_44,BFI,44,"I see myself as someone who is: - Is sophisticated in art, music, or literature","{""ImportId"":""QID77_44""}",4,5,5,2,1,5,4,1,2,1,4,5,5,4,5,5,3,5,4,4,1,2,4,3,2,4,4,4,4,3,5,2,2,3,3,4,3,4,4,2,4,3,4,5,3,4,1,4,3,4,3,3,3,2,5,5,2,4,1,4,5,3,5,4,2,5,4,5,4,4,1,2,3,4,4
65,Q2.2_Page Submit,BFI,response_time,Timing - Page Submit,"{""ImportId"":""QID78_PAGE_SUBMIT""}",48.749,100.85,40.002,84.448,53.298,43.534,67.298,114.129,47.552,5.827,547.382,52.446,83.494,88.144,66.263,59.267,50.313,130.425,25.136,54.255,13.724,100.815,121.986,59.886,26.557,69.634,35.487,192.675,113.29,119.123,51.197,128.132,47.12,115.252,31.878,158.332,23.268,25.34,194.3,127.612,98.549,72.745,70.665,8.762,104.627,120.476,40.676,51.703,102.459,1217.569,69.785,189.189,17.891,95.771,15.807,36.901,49.69,54.983,64.673,30.313,80.759,63.79,100.692,5.922,64.438,230.167,109.549,199.737,179.502,38.885,52.56,299.624,87.359,95.792,75.43
66,Q3.1_1,NARS,1,Click to write the question text - I would feel uneasy if robots really had emotions.,"{""ImportId"":""QID88_1""}",4,5,1,3,4,1,2,2,3,1,5,1,4,5,4,2,4,3,3,4,2,2,4,4,2,3,4,4,4,2,1,3,3,3,3,3,2,3,5,2,2,1,2,5,4,4,5,4,4,4,3,5,3,3,4,3,3,4,3,4,2,4,4,2,3,5,3,1,2,4,3,2,2,4,2
67,Q3.1_2,NARS,2,Click to write the question text - Something bad might happen if robots developed into living beings.,"{""ImportId"":""QID88_2""}",3,5,1,3,4,2,1,3,2,1,5,3,5,5,5,2,4,3,4,5,5,2,5,3,2,4,3,4,4,3,1,3,3,4,4,4,3,2,5,2,2,2,2,4,2,4,1,4,3,4,2,5,3,4,1,4,5,3,3,4,3,4,4,5,4,3,3,1,2,2,5,3,2,4,4
68,Q3.1_3,NARS,3,Click to write the question text - I would feel relaxed talking with robots.,"{""ImportId"":""QID88_3""}",4,1,4,4,2,2,5,4,3,2,4,4,4,4,4,4,5,5,3,3,3,4,2,2,2,3,5,2,2,4,5,4,3,4,5,4,5,4,1,5,4,5,4,1,4,3,1,3,2,2,3,5,3,2,1,4,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,2,4
69,Q3.1_4,NARS,4,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"{""ImportId"":""QID88_4""}",3,2,2,2,2,2,1,2,3,2,2,1,5,1,5,2,5,1,4,4,2,2,2,4,2,2,4,4,4,2,4,2,3,3,5,2,1,3,5,1,2,1,1,4,1,2,1,4,4,3,2,1,3,1,5,5,3,2,1,5,1,4,4,5,2,1,2,1,1,4,1,1,2,2,1
70,Q3.1_5,NARS,5,"Click to write the question text - If robots had emotions, I would be able to make friends with them.","{""ImportId"":""QID88_5""}",4,2,2,4,4,2,4,2,2,4,1,3,4,2,4,5,4,3,3,3,2,2,4,2,2,1,3,2,2,3,5,4,3,3,3,4,3,2,1,4,4,5,1,4,3,2,1,3,3,3,3,3,3,3,5,4,3,3,3,5,4,2,5,4,4,4,4,4,4,3,3,4,4,2,4
71,Q3.1_6,NARS,6,Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"{""ImportId"":""QID88_6""}",3,1,1,3,4,4,4,5,2,1,1,4,5,1,5,3,3,3,4,4,4,2,2,1,2,3,4,2,1,3,4,3,3,4,5,3,5,4,1,4,4,3,1,2,2,2,1,4,2,2,2,1,3,1,4,4,3,3,3,4,3,2,3,3,2,3,4,5,4,4,3,4,4,2,3
72,Q3.1_7,NARS,7,"Click to write the question text - The word ""robot"" means nothing to me.","{""ImportId"":""QID88_7""}",3,1,3,1,1,2,1,2,3,5,1,1,4,2,4,2,4,1,3,4,3,2,1,3,1,1,5,2,4,2,1,2,3,2,4,1,5,3,1,2,2,1,1,4,1,2,1,2,1,3,2,1,3,1,1,5,3,2,1,5,1,3,2,2,2,1,2,4,1,2,1,2,4,2,1
73,Q3.1_8,NARS,8,Click to write the question text - I would feel nervous operating a robot in front of other people.,"{""ImportId"":""QID88_8""}",4,3,3,2,4,2,1,3,4,5,2,1,5,1,5,2,3,2,4,3,4,2,4,3,3,2,4,4,3,2,3,3,3,4,4,2,1,3,3,1,2,1,2,2,4,2,1,4,4,2,2,1,3,2,3,4,3,2,4,5,1,3,2,5,4,1,4,1,2,3,1,2,2,4,1
74,Q3.1_9,NARS,9,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,"{""ImportId"":""QID88_9""}",3,4,3,2,2,3,1,2,4,2,5,2,4,5,4,2,3,1,3,4,4,2,3,4,2,3,3,4,3,3,1,3,3,3,4,2,1,4,5,2,2,1,1,2,2,3,5,4,4,3,2,1,3,2,4,4,3,2,2,5,2,4,2,1,3,1,4,3,2,3,3,2,3,4,2
75,Q3.1_10,NARS,10,Click to write the question text - I would feel very nervous just standing in front of a robot.,"{""ImportId"":""QID88_10""}",4,2,5,2,2,2,1,1,3,1,1,1,5,1,5,2,4,1,4,4,2,2,2,2,2,1,5,4,3,2,1,1,3,3,4,2,5,3,4,1,2,1,2,4,1,2,1,3,2,2,2,1,3,3,3,4,2,2,1,4,1,3,2,3,3,1,2,2,1,4,1,1,3,2,1
76,Q3.1_11,NARS,11,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.","{""ImportId"":""QID88_11""}",3,2,5,3,1,2,2,2,2,3,3,3,4,5,4,2,5,1,3,4,3,2,4,4,2,2,4,4,3,4,1,3,3,4,3,3,1,2,4,1,2,1,2,3,1,4,1,4,2,4,2,1,3,2,2,5,3,2,1,5,2,4,3,1,2,3,4,1,2,4,3,2,3,4,1
77,Q3.1_12,NARS,12,Click to write the question text - I would feel paranoid talking with a robot.,"{""ImportId"":""QID88_12""}",4,2,2,2,2,2,2,4,4,3,2,1,5,2,5,2,2,1,4,5,2,2,2,5,2,2,3,4,3,2,4,2,3,3,4,2,1,2,3,1,2,1,1,4,1,2,1,4,3,3,2,1,3,3,4,4,1,3,1,4,1,2,2,1,3,1,2,4,1,2,3,2,3,4,1
78,Q3.1_13,NARS,13,Click to write the question text - I am concerned that robots would be a bad influence on children.,"{""ImportId"":""QID88_13""}",4,1,2,2,2,4,1,2,2,2,2,3,5,1,4,2,3,1,3,4,3,2,1,3,2,2,4,2,3,3,5,3,3,4,3,3,4,4,3,1,2,1,2,4,2,3,1,3,1,3,2,1,3,1,4,4,3,3,1,5,1,3,3,5,3,3,4,5,1,2,3,2,3,2,1
79,Q3.1_14,NARS,14,Click to write the question text - I feel that in the future society will be dominated by robots.,"{""ImportId"":""QID88_14""}",3,3,4,2,2,2,4,5,4,4,3,3,4,1,5,3,3,1,4,4,2,1,1,3,2,3,4,2,3,3,3,3,3,4,4,3,1,4,3,3,2,3,1,1,4,2,1,4,2,2,3,5,3,4,3,4,2,2,2,4,3,3,3,2,4,3,4,4,3,3,5,3,3,2,2
80,Q3.2_Page Submit,NARS,response_time,Timing - Page Submit,"{""ImportId"":""QID89_PAGE_SUBMIT""}",18.529,44.001,7.094,66.655,32.76,6.696,25.628,20.531,11,5.952,51.325,37.386,12.545,37.704,9.736,42.916,21.913,66.291,9.048,20.492,5.961,49.719,124.023,45.477,10.745,38.044,16.328,57.443,45.981,106.984,26.758,68.322,9.735,27.909,8.545,57.57,93.64,9.301,93.077,41.264,32.034,14.437,370.752,12.515,75.032,80.257,23.604,25.395,76.815,96.691,73.63,107.805,5.182,76.562,7.259,14.166,23.857,50.364,43.688,10.176,62.485,38.04,70.146,5.889,17.494,87.229,58.595,15.199,205.742,26.617,35.585,63.245,39.524,71.154,45.974
81,Q5.1,QID94,,Which robot do you agree with?,"{""ImportId"":""QID94""}",2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1
82,Q5.2_Page Submit,QID94,response_time,Timing - Page Submit,"{""ImportId"":""QID95_PAGE_SUBMIT""}",11.145,7.46,0.628,20.438,1.093,2.52,2.809,13.694,2.488,5.782,82.802,2.658,10.137,5.427,2.33,2.318,0.32,4.484,4.7,4.87,5.646,5.848,3.238,1.896,2.137,2.849,5.254,109.183,275.562,14.838,1.976,7.736,,103.397,45.382,18.213,72.743,16.653,32.725,2.416,3.674,1.141,1.353,5.819,2.423,5.143,5.452,7.603,5.293,6.621,5.994,19.599,1.552,6.705,5.773,2.144,6.255,3.316,6.639,3.143,12.064,2.801,2.897,2.237,2.815,2.453,6.242,1.91,4.063,4.353,2.144,12.446,2.556,5.033,2.469
83,Q7.1,QID96,,Which robot do you agree with?,"{""ImportId"":""QID96""}",1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,,2,2,1,1,2,1,2,,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1
84,Q7.2_Page Submit,QID96,response_time,Timing - Page Submit,"{""ImportId"":""QID97_PAGE_SUBMIT""}",2.124,1.845,3.515,1.963,0.786,1.908,1.785,1.544,0.859,2.31,3.86,1.838,3.24,2.36,2.09,1.586,0.592,2.804,2.336,20.565,74.07,3.948,2.363,1.355,,1.771,3.009,22.008,1.782,11.787,2.107,2.023,,2.343,2.729,1.496,1.193,1.179,2.59,1.514,1.539,1.368,1.705,4.134,7.162,2.429,0.998,1.525,6.988,1.221,1.262,2.075,1.043,1.652,2.419,4.641,0.797,1.488,1.789,1.577,2.102,1.374,2.131,1.473,1.5,6.555,2.38,1.402,2.098,1.645,1.6,1.933,1.312,2.666,2.056
85,Q8.1,trap_question,,What does Liz enjoy doing?,"{""ImportId"":""QID92""}",5,4,4,4,4,1,3,4,4,5,4,3,6,4,2,4,1,4,6,4,3,4,4,4,,4,1,4,1,4,3,4,,4,1,4,4,4,3,1,4,4,4,2,4,2,3,5,1,5,4,4,,4,4,1,4,1,4,2,4,6,4,4,5,4,6,2,4,4,4,4,4,4,4
86,Q8.2_Page Submit,QID92,response_time,Timing - Page Submit,"{""ImportId"":""QID93_PAGE_SUBMIT""}",70.885,4.236,30.362,39.816,5.082,19.722,30.019,23.028,4.3,10.791,30.991,27.804,8.07,62.135,2.455,41.785,7.727,11.489,21.601,22.136,9.065,152.593,17.685,6.341,,13.573,21.268,17.863,25.304,152.927,19.723,16.929,,18.849,16.788,11.833,17.677,6.874,69.101,32.564,5.359,5.411,3.181,14.284,13.166,27.457,30.597,16.691,26.667,84.273,10.789,23.98,,27.294,10.56,26.587,13.094,9.178,8.663,3.001,9.925,23.709,30.789,4.03,19.058,4.681,35.275,7.788,10.656,48.387,23.866,8.046,7.152,11.397,115.064
87,Q10.1,QID100,,Which robot do you agree with?,"{""ImportId"":""QID100""}",1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,,,2,1,1,2,1,2,,1,1,1,2,2,,2,2,1,2,2,2,2,,1,1,1,1,2,,1,2,1,2,2,,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1
88,Q10.2_Page Submit,QID100,response_time,Timing - Page Submit,"{""ImportId"":""QID101_PAGE_SUBMIT""}",3.167,1.526,1.87,1.558,3.268,0.894,1.647,1.478,1.062,1.987,1.559,1.414,5.234,2.32,1.799,1.631,0.953,3.907,1.874,4.288,2.172,2.909,1.742,1.22,,,3.195,44.139,17.536,2.684,0.985,5.779,,5.631,2.813,1.12,1.045,24.109,,2.438,1.583,1.247,1.83,2.236,1.335,2.459,,1.769,4.799,2.728,1.068,2.862,,1.793,2.488,3.181,11.48,1.417,,1.48,2.188,1.061,0.959,1.61,2.124,1.594,1.607,1.478,1.426,1.265,1.617,4.493,1.414,1.744,1.717
89,Q12.1,QID102,,Which robot do you agree with?,"{""ImportId"":""QID102""}",2,1,2,1,1,,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,,,,2,2,1,2,1,1,,2,2,2,2,2,,,1,2,2,2,1,1,,2,2,1,1,2,,1,2,1,1,2,,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1
90,Q12.2_Page Submit,QID102,response_time,Timing - Page Submit,"{""ImportId"":""QID103_PAGE_SUBMIT""}",1.986,4.703,0.576,4.257,1.254,,1.411,0.978,125.642,3.128,2.438,1.566,3.493,2.13,1.455,1.357,1.043,9.511,3.294,2.22,1.825,3.295,1.669,,,,2.724,14.603,2.561,1.567,1.667,1.926,,4.74,2.065,1.302,3.413,17.724,,,1.868,1.283,1.436,1.892,1.785,2.1,,2.468,2.505,13.224,1.303,3.194,,3.514,2.584,2.265,2.687,1.973,,1.34,2.158,1.473,0.677,1.1,1.518,1.986,4.296,2.03,1.83,0.681,1.092,1.385,1.096,1.142,1.083
91,Q14.1,QID104,,Which robot do you agree with?,"{""ImportId"":""QID104""}",1,1,2,1,1,,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,,,,2,1,2,2,1,1,,2,1,2,2,2,,,1,2,1,2,1,2,,1,1,2,2,1,,1,1,2,2,2,,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
92,Q14.2_Page Submit,QID104,response_time,Timing - Page Submit,"{""ImportId"":""QID105_PAGE_SUBMIT""}",2.903,1.717,3.217,4.512,2.052,,1.428,1.084,0.824,1.708,4.257,2.115,3.286,1.605,1.513,1.42,0.427,2.678,2.672,2.748,3.305,4.127,1.82,,,,2.395,17.393,2.192,1.385,2.25,1.796,,2.459,3.618,1.523,1.283,15.366,,,1.48,1.515,1.693,1.131,1.901,2.614,,1.581,1.657,1.804,1.066,2.327,,1.749,1.209,2.666,2.471,0.863,,1.844,7.976,1.262,0.774,0.816,1.035,1.797,0.731,1.722,1.272,0.687,1.379,1.123,1.359,0.911,0.847
93,Q16.1,QID106,,Which robot do you agree with?,"{""ImportId"":""QID106""}",1,1,1,1,1,,2,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,,,,1,1,1,2,1,1,,2,2,2,2,2,,,2,1,1,1,1,1,,2,2,1,2,2,,1,1,1,1,2,,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1
94,Q16.2_Page Submit,QID106,response_time,Timing - Page Submit,"{""ImportId"":""QID107_PAGE_SUBMIT""}",2.185,1.053,14.173,2.155,2.372,,1.299,0.807,58.195,2.196,1.939,2.284,5.797,2.083,1.768,1.375,0.843,7.122,1.598,2.677,1.61,2.664,1.673,,,,2.5,14.772,5.056,1.496,1.189,1.616,,3.02,1.919,1.686,1.959,8.766,,,1.333,1.32,1.194,2.253,2.079,2.155,,1.503,1.478,1.14,1.158,2.227,,1.637,4.008,14.894,7.765,1.328,,2.082,4.951,1.245,0.841,2.094,2.059,1.547,2.025,1.924,1.618,1.047,1.405,0.924,1.883,1.043,0.942
95,Q18.1,QID108,,Which robot do you agree with?,"{""ImportId"":""QID108""}",2,2,2,2,2,,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,,,,1,2,1,1,1,1,,1,2,2,2,2,,,2,1,2,1,2,1,,1,2,2,2,2,,1,1,1,1,1,,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,1
96,Q18.2_Page Submit,QID108,response_time,Timing - Page Submit,"{""ImportId"":""QID109_PAGE_SUBMIT""}",1.577,1.286,3.199,3.145,2.672,,3.275,0.376,1.323,2.752,18.493,1.712,1.971,1.825,2.83,2.392,3.474,2.739,1.654,3.339,1.668,2.755,1.601,,,,3.07,14.447,18.254,1.46,0.802,1.127,,2.399,1.74,1.194,10.853,10.151,,,1.081,1.704,1.572,1.379,1.902,2.25,,4.533,0.84,1.265,1.902,2.951,,1.22,1.619,3.904,18.671,1.36,,3.62,1.661,1.193,0.9,1.923,1.492,1.658,1.364,1.37,1.203,,1.303,1.051,1.474,1.76,0.95
97,Q19.1_1,QID90,1,Click to write the question text - Which robot would you prefer?,"{""ImportId"":""QID90_1""}",1,4,1,4,4,,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,,,,1,4,4,1,4,4,,1,1,1,1,1,,,1,1,4,1,4,1,,4,1,1,1,1,,4,4,4,4,1,,1,1,1,1,1,4,4,4,4,4,,4,4,4,4,4
98,Q19.1_6,QID90,6,Click to write the question text - Which robot would you trust to manage your investments portfolio?,"{""ImportId"":""QID90_6""}",4,4,1,4,4,,4,1,4,1,4,1,4,1,4,1,1,1,4,1,4,4,1,,,,1,4,4,1,4,4,,4,1,1,1,1,,,1,1,4,4,1,1,,4,1,1,1,1,,4,1,4,4,1,,1,1,1,1,1,4,4,4,4,4,,4,4,4,4,4
99,Q19.1_2,QID90,2,Click to write the question text - Which robot do you think will serve as a good jury member?,"{""ImportId"":""QID90_2""}",1,4,4,4,4,,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,,,,4,1,4,1,4,4,,1,1,1,1,1,,,1,1,4,4,1,1,,1,1,1,1,1,,4,4,4,1,1,,1,1,1,1,1,4,4,4,4,4,,4,4,4,4,4
100,Q19.1_7,QID90,7,Click to write the question text - Which robot do you think will be a better analyst?,"{""ImportId"":""QID90_7""}",4,4,4,4,4,,4,1,4,4,4,1,4,1,4,1,4,1,4,1,4,4,1,,,,1,4,4,1,4,4,,1,1,1,1,1,,,1,1,4,1,1,1,,4,1,1,1,1,,4,1,4,1,4,,4,4,1,1,1,4,4,4,4,4,,4,4,4,4,4
101,Q19.1_3,QID90,3,Click to write the question text - Which robot would you like as a bartender?,"{""ImportId"":""QID90_3""}",4,4,1,4,1,,4,1,4,1,4,1,1,4,1,1,4,1,1,1,1,4,1,,,,4,1,4,1,4,1,,4,4,1,1,1,,,1,1,4,4,4,4,,4,4,4,4,1,,1,4,4,1,1,,4,1,1,1,4,4,4,4,4,4,,4,1,4,1,4
102,Q19.2_Page Submit,QID90,response_time,Timing - Page Submit,"{""ImportId"":""QID91_PAGE_SUBMIT""}",7.202,8.746,6.443,17.195,9.065,,13.841,4.472,2.773,27.876,19.076,12.906,6.202,11.408,5.162,5.026,8.703,15.555,7.39,14.971,39.39,15.71,19.272,,,,8.033,12.647,8.292,32.161,5.615,16.889,,24.952,4.229,18.549,5.892,3.778,,,9.886,5.098,8.628,5.496,23.167,20.982,,7.473,18.688,10.243,19.291,9.524,,16.997,13.131,13.063,16.979,9.199,,4.172,38.495,7.567,10.803,8.545,10.145,5.762,9.868,5.389,10.106,,7.007,22.083,5.448,13.149,11.641
103,Q79#1_1,QID79#1,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,"{""ImportId"":""QID79#1_1""}",4,1,3,1,1,,,2,4,5,3,1,2,2,,3,3,,4,1,1,3,4,,,,4,3,4,,4,3,,5,3,,5,3,,,,4,1,4,3,2,,3,3,3,1,3,,1,2,2,,2,,3,,1,3,4,3,1,1,3,2,,1,1,3,1,1
104,Q79#2_1,QID79#2,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,"{""ImportId"":""QID79#2_1""}",3,4,3,4,5,,,2,2,4,2,5,3,4,,2,4,,3,2,4,3,3,,,,4,2,3,,5,5,,1,4,,4,3,,,,5,5,3,3,2,,4,3,3,5,3,,1,1,2,,3,,1,,5,3,2,3,1,5,4,4,,1,5,3,5,5
105,Q80#1_1,GODSPEED1,1,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,"{""ImportId"":""QID80#1_1""}",3,1,5,2,3,,4,2,4,2,4,3,4,3,,4,3,3,4,3,3,2,4,,,,4,4,4,3,4,3,,5,4,2,3,3,,,,4,2,2,2,2,,2,4,1,3,3,,1,1,5,2,3,,4,3,5,1,3,3,1,1,4,2,,1,3,3,1,2
