ResponseId,answer,rationality
R_1opch7l3UWoa4fF,"I prefer the red robot as it seemed more logical and more rational (especially with questions 4, 5 and 6).   I thought that the blue robot had more emotions and more human-like features but it also felt as if the blue robot wasn't always making the most logical decisions (although I didn't necessarily agree with either robot for questions 1, 2 and 3).   Thus, I would prefer the red robot given the rational decision-making that I observed for questions 4, 5 and 6.",half
R_3LgMUGZPbChFD38,It ordered things more closely to how I would have,half
R_2q9LfWIrecZTBfX,I think both were pretty mechanical but at least I thought Red was generally more precise and accurate.,half
R_21EuXTHXuzlThe0,The blue one was more robotic in it's movement and I didn't like that the Red one seemed almost friendly. I would prefer a robot to sound and look robotic than human-like. ,irrational
R_2V9LgMAqfnGMjAC,I believe that the red robot was simply more coherent in its reasoning than the blue robot was and so I would prefer the one that could at least somewhat mimic person-to-person interaction and not nonsensical conversating.,half
R_TtS7DzwDRaO6tTH,sounds less robotic,irrational
R_3e47V1fJMwGGCUG,I like the color better they both seem similar otherwise,irrational
R_3MtXzbXlQRPLCWo,don't really have a preference,half
R_3n2VMuBvJj2Szxr,"Blue seemed a little better when it came to people, while red seemed better on about situations. So for me the blue would be more of a people oriented robot and better to have around for casual things.",irrational
R_x3ITNQeFKApYQut,This robot had answer more like what I would have said,half
R_3p5dGBUvsNUSUjd,Based on it's answers it seems more interesting and I'd like to find out more about it's programming and why it ordered things as it did.,irrational
R_3oBACBeqiDipIbH,They both were good.  I think the red one was a little more irrational at times which I actually kind of liked.,half
R_bIqQ2gRAHAdi0k9,"I liked the order that it ranked things, which usually started with ""x or x"" instead of just the one ""x"" statement.",half
R_1GCf3z8V47zJYRt,I think I agreed more with the answers of this robot,half
R_1FJJG6UOccX69LN,It's suggestions/rankings seemed to make more logical sense to me.,half
R_1eS6jGY5UCiIQcb,"It chose the term with ""or"" (which has a higher probability) sooner than the other robot. However, it still didn't get the questions exactly right. I focused mainly on their answers and not their manuerisms.",irrational
R_7TF7eN0fxa4dLq1,"The only real reason is that the Red robot ordered the phrases in a more logical way.  As a secondary consideration, the Red robot's movements seemed smoother on average.",half
R_AyDljEl6D41PSIF,This robot stated the answers in a way I liked better.,half
R_29aX9AoTxPdhIYp,I agreed with this robot's assessment more than red's.,irrational
R_3IRJjcvDitJA2nl,I prefer this robot becasue it seems more intelligent and lively.,half
R_2Vg2HaM24qMH3N2,More fluid of movement - blue seemed more jerky.  Speech seemed less hesitant than blue.,half
R_3DwOilcSJ2iDlev,I think it's analytical skills are better programmed but I did not see a big difference between them,irrational
R_2a9yhA3gpFKEGcZ,It's answers seemed more logical to me. ,half
R_ZgXLtw1cakJRxnz,"I tended to agree with their answers most of the time. Because of this, they seemed more intelligent so I would prefer the red robot more. ",half
R_1Nw4KqBnT5yCDi5,they ranked better some of the times. other then that i see no real difference in them ,half
R_25u199SR0KMzlKY,It seemed to be more intuitive.,half
R_2y15rZnf7DTawMM,It had a better voice and way of talking and its answers made more sense than the blue ones.,half
R_1dEvQHPKEbUnRN8,"blue just seemed to be a bit more interactive, and  tad more lifelike in my opinion. And i preferred more of Blue's responses",irrational
R_1mmTkVXdtkT4ZBQ,its more robotic,irrational
R_1o1kpGXEn1ZIXbG,"The red robot's way of stating the answers was a little more informal at times, and more enjoyable to listen to. ",half
R_2w0LUTvQqwRn06q,The blue robot seems to be more competent and knows more information about things. It seems to process the information more reasonably.,irrational
R_vBRzkc8jzlqWDhT,it seemed to have the most logical answers consistently.,half
R_1CIxTAVpopmkLlU,Seemed more friendly and used human language moreso than logical language. Seemed to annunciate more.,half
R_0eL3eqstM0StkBz,"There's not much of a difference between them really, but blue seemed to answer most of the questions a bit better than red, giving the impression that it was a bit smarter than red.  And blue looked like a better color for a robot :)",irrational
R_2XoLq5HRDETl1qc,She got more of the answers right so seems she was listening a little more attentive. ,irrational
R_1hMVIczX9Ds1UZK,Gave better answers but both were bad,irrational
R_2WSAax6mKzBUt9i,The were the same. They only differed in color. ,irrational
R_2SxJCmWWk4cPOAj,"The red robot seems to factor judgements in a more particular way, as to be consistent with the given information.   ",half
R_qUzYXivxgfmuBEd,Red seems most analytical and I am at a point of accepting robots for pure logic and information as opposed to personality or anything related to emotion.,half
R_2DMvvHkvhDXMtn4,GOT IT RIGHT MOST OF THE TIME IN MY OPINION,half
